pattern,metric,day,count,share,cum_share
60v_strong,days_to_high_break_60d,43,2,0.0018501387604070306,0.9722479185938946
60v_strong,days_to_high_break_60d,44,2,0.0018501387604070306,0.9740980573543017
60v_strong,days_to_high_break_60d,45,3,0.0027752081406105457,0.9768732654949122
60v_strong,days_to_high_break_60d,46,1,0.0009250693802035153,0.9777983348751157
60v_strong,days_to_high_break_60d,47,3,0.0027752081406105457,0.9805735430157262
60v_strong,days_to_high_break_60d,48,3,0.0027752081406105457,0.9833487511563367
60v_strong,days_to_high_break_60d,49,2,0.0018501387604070306,0.9851988899167438
60v_strong,days_to_high_break_60d,51,1,0.0009250693802035153,0.9861239592969473
60v_strong,days_to_high_break_60d,52,3,0.0027752081406105457,0.9888991674375578
60v_strong,days_to_high_break_60d,53,2,0.0018501387604070306,0.9907493061979649
60v_strong,days_to_high_break_60d,54,1,0.0009250693802035153,0.9916743755781684
60v_strong,days_to_high_break_60d,55,1,0.0009250693802035153,0.9925994449583719
60v_strong,days_to_high_break_60d,56,1,0.0009250693802035153,0.9935245143385755
60v_strong,days_to_high_break_60d,57,1,0.0009250693802035153,0.994449583718779
60v_strong,days_to_high_break_60d,58,2,0.0018501387604070306,0.9962997224791861
60v_strong,days_to_high_break_60d,59,3,0.0027752081406105457,0.9990749306197966
60v_strong,days_to_high_break_60d,60,1,0.0009250693802035153,1.0
60v_strong,days_to_plus5_60d,1,32,0.03800475059382423,0.03800475059382423
60v_strong,days_to_plus5_60d,2,55,0.06532066508313539,0.10332541567695962
60v_strong,days_to_plus5_60d,3,63,0.07482185273159145,0.17814726840855105
60v_strong,days_to_plus5_60d,4,46,0.05463182897862233,0.2327790973871734
60v_strong,days_to_plus5_60d,5,48,0.057007125890736345,0.28978622327790976
60v_strong,days_to_plus5_60d,6,50,0.05938242280285035,0.3491686460807601
60v_strong,days_to_plus5_60d,7,30,0.035629453681710214,0.3847980997624703
60v_strong,days_to_plus5_60d,8,24,0.028503562945368172,0.41330166270783847
60v_strong,days_to_plus5_60d,9,21,0.02494061757719715,0.43824228028503565
60v_strong,days_to_plus5_60d,10,30,0.035629453681710214,0.47387173396674587
60v_strong,days_to_plus5_60d,11,26,0.030878859857482184,0.504750593824228
60v_strong,days_to_plus5_60d,12,24,0.028503562945368172,0.5332541567695962
60v_strong,days_to_plus5_60d,13,27,0.032066508313539195,0.5653206650831354
60v_strong,days_to_plus5_60d,14,18,0.021377672209026127,0.5866983372921615
60v_strong,days_to_plus5_60d,15,18,0.021377672209026127,0.6080760095011876
60v_strong,days_to_plus5_60d,16,13,0.015439429928741092,0.6235154394299287
60v_strong,days_to_plus5_60d,17,21,0.02494061757719715,0.6484560570071258
60v_strong,days_to_plus5_60d,18,11,0.013064133016627079,0.661520190023753
60v_strong,days_to_plus5_60d,19,11,0.013064133016627079,0.6745843230403801
60v_strong,days_to_plus5_60d,20,18,0.021377672209026127,0.6959619952494062
60v_strong,days_to_plus5_60d,21,16,0.019002375296912115,0.7149643705463182
60v_strong,days_to_plus5_60d,22,14,0.0166270783847981,0.7315914489311164
60v_strong,days_to_plus5_60d,23,17,0.020190023752969122,0.7517814726840855
60v_strong,days_to_plus5_60d,24,6,0.007125890736342043,0.7589073634204275
60v_strong,days_to_plus5_60d,25,15,0.017814726840855107,0.7767220902612826
60v_strong,days_to_plus5_60d,26,9,0.010688836104513063,0.7874109263657957
